link_researcher,assunto_keywords,assunto_ids
/pt/auxilios/18449/avaliacao-da-relacao-entre-disfuncao-temporomandibular-e-disfuncao-da-coluna-cervical-por-meio-de-im/,Articulação temporomandibular##Ressonância magnética##Disfunção temporomandibular,149669##803##148037
/pt/auxilios/18989/estudo-in-vitro-da-influencia-do-fator-de-transformacao-de-crescimento-b1tgf-b1-em-cultura-de-fi/,Polpa dentária##Fibroblasto pulpar,13892##152573
/pt/auxilios/18514/estudo-da-resistencia-ao-cisalhamento-na-interface-de-sistemas-metaloceramicos-e-analise-pela-micros/,Cisalhamento##Microscopia eletrônica de varredura,4871##7819
/pt/auxilios/19075/avaliacao-clinica-das-posturas-de-trabalho-empregadas-em-odontopediatria/,Doenças ocupacionais##Ergonomia##Odontopediatria,15275##238##158162
/pt/auxilios/19096/avaliacao-no-tempo-de-presa-reproducao-de-detalhes-resistencia-compressiva-resistencia-a-tracao-d/,Infecção cruzada##Desinfecção##Gesso,168552##3533##6757
/pt/auxilios/18706/estudo-longitudinal-da-resistencia-a-abrasao-e-rugosidade-superficial-de-areas-retentivas-em-resina/,Prótese parcial removível##Rugosidade##Resinas compostas,23899##173549##3509
/pt/auxilios/18899/resistencia-de-uniao-de-restauracoes-em-resina-composta-classe-ii-com-diferentes-combinacoes-restaur/,Resinas compostas##Resistência de união (odontologia)##Adesivos dentinários,3509##11235##15631
/pt/auxilios/18946/estudo-da-contracao-de-fundicao-do-titanio-da-expansao-de-presa-de-revestimentos-e-da-desadaptacao/,Ligas dentárias##Prótese parcial fixa##Titânio,7817##7630##1363
/pt/auxilios/18982/estudo-histopatologico-imunohistoquimico-e-de-hibridizacao-in-situ-das-glandulas-submandibulares-e/,Glândula sublingual##Imuno-histoquímica##Autopsia##Hibridização in situ##Glândula submandibular##AIDS,11863##162220##3025##962##151792##5895
/pt/auxilios/18243/influencia-da-fumaca-de-cigarro-associada-a-deficiencia-induzida-de-estrogeno-sobre-o-tecido-osseo-a/,Ósseointegração##Próteses e implantes##Ovariectomia##Estrógenos##Osteoporose,3597##1432##8351##3170##8148
