Pesquisador_link,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
/pt/pesquisador/7254/antonio-carlos-pereira-barretto/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
/pt/pesquisador/716/suely-kazue-nagahashi-marie/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,25,57,91,107,113,93,112,138,166,58
/pt/pesquisador/59654/andre-luiz-ferreira-costa/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,8,3,4,17,3,10,1
/pt/pesquisador/8944/elvis-terci-valera/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,5,8,7,13,9,9,15,3
/pt/pesquisador/34053/jose-guilherme-vartanian/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/6560/celso-moura-rebello/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/140/jose-alexandre-marzagao-barbuto/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,11,25,45,47,51,88,32
/pt/pesquisador/34661/valeria-cristina-sandrim/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3
/pt/pesquisador/7234/eduardo-magalhaes-rego/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,23,30,31,29,31,37,41,31,34,17
/pt/pesquisador/7767/kette-dualibi-ramos-valente/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,8,31,24,27,48,41,49,14
/pt/pesquisador/53265/minna-moreira-dias-romano/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/pt/pesquisador/36844/fabio-rogerio/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,4,1
/pt/pesquisador/34115/marcel-liberman/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,14,10,11,9,14,10
/pt/pesquisador/33761/rui-seabra-ferreira-junior/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,8,17,21,25,55,61,71,23
/pt/pesquisador/668101/luciana-bertocco-de-paiva-haddad/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,1
/pt/pesquisador/9042/celso-dario-ramos/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,7,5,8,6,4,2
/pt/pesquisador/38167/alexandre-valotta-da-silva/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,2,10,5
/pt/pesquisador/92830/jose-fernando-vilela-martin/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
/pt/pesquisador/74389/monica-talarico-duailibi/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,2,2,2,4,1
/pt/pesquisador/3023/claudia-pinto-marques-souza-de-oliveira/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,16,21,22,15,15,14,17,13,2
/pt/pesquisador/4017/lea-maria-zanini-maciel/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,9,12,9,1
/pt/pesquisador/178583/rosilene-motta-elias-coelho/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,11,1
/pt/pesquisador/47923/jose-alexandre-de-souza-crippa/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,5,1,4,4
/pt/pesquisador/397799/luciano-miller-reis-rodrigues/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,11,8,2
/pt/pesquisador/4097/sergio-pereira-de-almeida-toledo/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,2,33,16,18,22,24,41,43,36,10
/pt/pesquisador/665138/giuliano-mendes-duarte/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0
/pt/pesquisador/66519/alexandre-faisal-cury/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,5,2,8,5,5,10,10,2
/pt/pesquisador/90134/luiza-da-silva-lopes/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
